price,surface,title
285000,50,Piso en venta en calle de Atocha
2500000,722,Casa o chalet independiente en venta en Ciudad Universitaria
2400000,242,Piso en venta en Recoletos
415000,78,Piso en venta en calle de Cádiz
1300000,250,Piso en venta en calle de Diego de León
1195000,234,Piso en venta en calle de San Marcos
1380000,423,Chalet adosado en venta en Conde Orgaz-Piovera
650000,212,Ático en venta en calle Artesa de Segre
725000,114,Piso en venta en calle ALONSO CANO
2950000,485,Piso en venta en paseo de Eduardo Dato
235000,79,Piso en venta en calle San Lamberto
930000,230,Piso en venta en calle de María de Molina
430000,99,Piso en venta en calle Clara del Rey
1695000,247,Dúplex en venta en Triana
5500000,601,Casa o chalet independiente en venta en castellon de la plana
430000,93,"Piso en venta en paseo del Prado, 14"
1850000,623,Casa o chalet independiente en venta en Ciudad Universitaria
2100000,400,Piso en venta en calle de María de Molina
450000,117,Ático en venta en paseo Tierra de Melide
1175000,220,Piso en venta en Aravaca
499000,145,Piso en venta en calle Ancora
2100000,300,Piso en venta en Recoletos
499000,105,Ático en venta en Adelfas
555000,117,Piso en venta en calle del Divino Pastor
2490000,391,Piso en venta en ayala
1395000,474,Chalet pareado en venta en Nueva España
1835000,293,Piso en venta en calle de Miguel Ángel
